Lemma,CEFR,POS,Frq abs,Frq ipm
и,A1,con,5153415,32534.19
в,A1,adpos,4632958,29248.47
не,A1,adv,2640349,16668.87
на,A1,adpos,2317171,14628.60
я,A1,pron,2014056,12715.00
что,A1,con,1950870,12316.10
что,A1,det,1950870,12316.10
что,A1,pron,1950870,12316.10
быть,A1,v,1859663,11740.30
он,A1,pron,1554719,9815.15
а,A1,con,1172793,7404.00
это,A1,det,1044679,6595.20
это,A1,pron,1044679,6595.20
как,A1,con,994508,6278.46
то,A1,particle,918474,5798.45
этот,A1,pron,893231,5639.08
к,A1,adpos,842678,5319.94
они,A1,pron,785868,4961.29
мы,A1,pron,764485,4826.29
она,A1,pron,739238,4666.91
из,A1,adpos,643459,4062.24
у,A1,adpos,625222,3947.11
вы,A1,pron,579305,3657.23
для,A1,adpos,546727,3451.56
от,A1,adpos,543731,3432.65
так,A1,adv,530136,3346.82
так,A1,con,530136,3346.82
мочь,A1,v,522294,3297.31
все,A1,pron,516239,3259.08
ты,A1,pron,502231,3170.65
год,A1,n,448707,2832.75
человек,A1,n,442570,2794.00
один,A1,num,439511,2774.69
один,A1,pron,439511,2774.69
такой,A1,pron,433238,2735.09
тот,A1,pron,431714,2725.47
или,A1,con,403741,2548.87
только,A1,particle,376489,2376.82
его,A1,pron,359128,2267.22
себя,A1,pron,351068,2216.34
время,A1,n,329818,2082.18
когда,A1,con,321937,2032.43
другой,A1,pron,299929,1893.49
сказать,A1,v,298385,1883.74
мой,A1,pron,285174,1800.34
наш,A1,pron,269904,1703.94
говорить,A1,v,263689,1664.70
знать,A1,v,247900,1565.03
вот,A1,particle,246137,1553.90
очень,A1,adv,231728,1462.93
нет,A1,particle,224073,1414.60
кто,A1,pron,220480,1391.92
да,A1,excl,217370,1372.29
день,A1,n,205227,1295.63
можно,A1,adv,199865,1261.77
жизнь,A1,n,198273,1251.72
два,A1,num,191708,1210.28
новый,A1,adj,187605,1184.38
раз,A1,n,180788,1141.34
хотеть,A1,v,175770,1109.66
должен,A1,adv,175055,1105.15
какой,A1,pron,169595,1070.68
со,A1,adpos,169404,1069.47
там,A1,adv,169062,1067.31
там,A1,pron,169062,1067.31
их,A1,pron,166644,1052.05
много,A1,adv,166435,1050.73
работа,A1,n,166194,1049.20
иметь,A1,v,165315,1043.66
где,A1,adv,163420,1031.69
вопрос,A1,n,160481,1013.14
рука,A1,n,156589,988.57
город,A1,n,155719,983.07
ее,A1,pron,154615,976.10
слово,A1,n,148051,934.67
место,A1,n,145308,917.35
без,A1,adpos,143950,908.78
ребенок,A1,n,142174,897.56
просто,A1,adv,141736,894.80
друг,A1,n,138119,871.96
большой,A1,adj,135731,856.89
надо,A1,adv,134206,847.26
ваш,A1,pron,133171,840.73
сделать,A1,v,133149,840.59
идти,A1,v,132784,838.28
здесь,A1,adv,130889,826.32
делать,A1,v,130167,821.76
сейчас,A1,adv,128055,808.43
россия,A1,n prop,127322,803.80
видеть,A1,v,126364,797.75
думать,A1,v,119361,753.54
хороший,A1,adj,112507,710.27
глаз,A1,n,110351,696.66
тут,A1,adv,109118,688.88
дом,A1,n,108450,684.66
страна,A1,n,108331,683.91
работать,A1,v,102377,646.32
лицо,A1,n,100139,632.19
жить,A1,v,100131,632.14
часть,A1,n,99839,630.30
женщина,A1,n,99342,627.16
голова,A1,n,95409,602.33
проблема,A1,n,95041,600.01
конец,A1,n,94080,593.94
смотреть,A1,v,92682,585.11
пока,A1,adv,91151,575.45
русский,A1,adj,89668,566.09
три,A1,num,87746,553.95
деньги,A1,n,82370,520.01
почему,A1,adv,81213,512.71
понимать,A1,v,80705,509.50
москва,A1,n prop,80111,505.75
хорошо,A1,adv,79702,503.17
час,A1,n,79473,501.72
сегодня,A1,adv,75763,478.30
книга,A1,n,74665,471.37
пойти,A1,v,74396,469.67
любить,A1,v,72230,456.00
высокий,A1,adj,71073,448.69
нужно,A1,adv,70610,445.77
твой,A1,pron,69393,438.09
больше,A1,adv,69294,437.46
например,A1,adv,69021,435.74
группа,A1,n,68447,432.11
писать,A1,v,68226,430.72
сидеть,A1,v,67805,428.06
машина,A1,n,67342,425.14
стоять,A1,v,65307,412.29
имя,A1,n,65113,411.07
стоить,A1,v,64824,409.24
маленький,A1,adj,64801,409.10
ответ,A1,n,64565,407.61
вода,A1,n,64512,407.27
язык,A1,n,64176,405.15
далеко,A1,adv,64049,404.35
нужный,A1,adj,63859,403.15
давать,A1,v,63579,401.38
российский,A1,adj,62860,396.84
народ,A1,n,62741,396.09
ночь,A1,n,61671,389.34
оно,A1,pron,60940,384.72
дверь,A1,n,60287,380.60
число,A1,n,59455,375.35
следующий,A1,adj,59119,373.23
написать,A1,v,58836,371.44
отец,A1,n,58736,370.81
нога,A1,N,58439,368.93
старый,A1,adj,58044,366.44
тысяча,A1,num,57104,360.51
месяц,A1,n,56209,354.85
минута,A1,n,55740,351.89
мало,A1,adv,55718,351.76
автор,A1,n,55127,348.02
начинать,A1,v,55107,347.90
свет,A1,n,54371,343.25
школа,A1,n,53955,340.63
мужчина,A1,n,53522,337.89
внимание,A1,n,53317,336.60
молодой,A1,adj,52182,329.43
скоро,A1,adv,51799,327.01
важный,A1,adj,51458,324.86
ждать,A1,v,51390,324.43
игра,A1,n,50788,320.63
читать,A1,v,50683,319.97
жена,A1,n,49873,314.85
письмо,A1,n,48773,307.91
вечер,A1,n,48511,306.26
настоящий,A1,adj,48463,305.95
семья,A1,n,48037,303.26
простой,A1,adj,48034,303.24
вещь,A1,n,48030,303.22
утро,A1,n,47472,299.70
мать,A1,n,47415,299.34
рынок,A1,n,47379,299.11
девушка,A1,n,46686,294.73
сколько,A1,adv,46312,292.37
стол,A1,n,46214,291.76
улица,A1,n,46064,290.81
помнить,A1,v,45664,288.28
